CustomerID,Age,Gender,AnnualIncome,PurchaseFrequency,AverageBasketSize,Region,LastPurchaseDate,TotalSpend
CUST0001,27,Female,26429,15,66.17,South,2024-02-26,992.55
CUST0002,54,Female,50777,13,494.31,South,2024-01-15,6426.03
CUST0003,33,Female,126128,10,461.83,West,2024-05-22,4618.3
CUST0004,18,Female,88492,1,415.21,South,2023-12-11,415.21
CUST0005,46,Female,103418,5,393.37,East,2024-06-29,1966.85
CUST0006,43,Female,147076,9,482.12,East,2024-01-10,4339.08
CUST0007,47,Male,62222,4,263.48,West,2024-05-24,1053.92
CUST0008,47,Male,146099,13,76.05,West,2023-11-26,988.65
CUST0009,26,Male,55446,10,242.03,North,2024-08-30,2420.3
CUST0010,27,Male,68359,11,405.82,North,2024-05-17,4464.02
CUST0011,18,Male,122192,20,417.49,East,2024-11-19,8349.8
CUST0012,60,Female,76339,13,447.73,North,2024-10-22,5820.49
CUST0013,58,Male,31844,20,244.53,West,2024-03-17,4890.6
CUST0014,54,Male,61975,8,487.34,West,2024-08-22,3898.72
CUST0015,34,Male,134532,15,97.38,South,2024-02-05,1460.7
CUST0016,54,Male,96681,9,256.06,West,2024-05-22,2304.54
CUST0017,29,Male,90140,7,203.02,West,2024-03-01,1421.14
CUST0018,42,Male,48591,15,446.27,West,2024-10-14,6694.05
CUST0019,61,Male,40621,2,462.1,South,2024-11-18,924.2
CUST0020,51,Female,120501,6,148.57,North,2024-03-11,891.42
CUST0021,26,Male,96459,4,276.43,South,2024-05-06,1105.72
CUST0022,54,Male,23056,9,178.41,South,2024-09-02,1605.69
CUST0023,32,Male,109711,10,404.73,West,2024-03-20,4047.3
CUST0024,31,Female,102769,9,303.02,South,2024-10-15,2727.18
CUST0025,23,Male,23550,3,308.27,East,2024-03-21,924.81
CUST0026,31,Female,149897,11,174.96,North,2024-02-28,1924.56
CUST0027,43,Male,60131,2,276.28,West,2024-10-01,552.56
CUST0028,31,Male,138731,13,444.23,West,2024-11-17,5774.99
CUST0029,46,Male,85322,8,370.93,South,2024-06-02,2967.44
CUST0030,40,Male,29524,15,303.92,South,2024-10-24,4558.8
CUST0031,48,Female,60152,20,208.65,East,2024-01-06,4173.0
CUST0032,48,Female,53450,15,149.82,South,2024-05-30,2247.3
CUST0033,43,Male,124260,13,485.37,West,2024-06-10,6309.81
CUST0034,30,Female,137093,8,451.72,West,2024-03-25,3613.76
CUST0035,19,Male,142233,8,423.75,North,2024-05-26,3390.0
CUST0036,49,Female,140964,3,198.68,East,2024-04-15,596.04
CUST0037,54,Female,23414,11,251.6,West,2024-07-12,2767.6
CUST0038,45,Female,97363,15,299.36,North,2024-07-27,4490.4
CUST0039,36,Male,56766,14,78.43,South,2024-01-02,1098.02
CUST0040,47,Female,65109,8,189.89,South,2024-02-24,1519.12
CUST0041,31,Male,78783,5,108.8,North,2023-12-01,544.0
CUST0042,40,Female,110318,18,433.28,South,2024-10-29,7799.04
CUST0043,41,Female,93031,1,190.16,East,2024-05-15,190.16
CUST0044,48,Male,117665,24,100.02,East,2024-01-24,2400.48
CUST0045,29,Female,137997,20,490.84,South,2024-10-24,9816.8
CUST0046,46,Male,114734,24,270.54,East,2024-11-13,6492.96
CUST0047,28,Male,108809,4,389.07,West,2024-10-01,1556.28
CUST0048,42,Male,124135,8,178.5,West,2024-02-08,1428.0
CUST0049,27,Female,53837,19,458.74,West,2024-04-10,8716.06
CUST0050,33,Male,102363,5,449.02,East,2024-09-09,2245.1
CUST0051,36,Female,76702,21,499.64,South,2024-04-24,10492.44
CUST0052,34,Female,139218,4,190.74,North,2024-03-27,762.96
CUST0053,25,Female,145044,23,90.84,North,2024-07-13,2089.32
CUST0054,42,Female,45206,18,257.05,South,2024-04-13,4626.9
CUST0055,29,Female,71510,24,87.17,East,2023-12-31,2092.08
CUST0056,35,Male,131096,10,86.69,West,2024-06-08,866.9
CUST0057,64,Male,28485,18,71.09,West,2024-03-29,1279.62
CUST0058,25,Female,116771,22,74.4,South,2024-04-03,1636.8
CUST0059,29,Female,116449,6,323.88,South,2024-07-03,1943.28
CUST0060,46,Female,105268,22,270.54,East,2023-12-17,5951.88
CUST0061,51,Female,107050,7,114.15,South,2024-07-20,799.05
CUST0062,38,Male,86622,15,419.9,North,2024-06-25,6298.5
CUST0063,50,Female,76931,2,400.46,South,2024-07-02,800.92
CUST0064,42,Male,94806,8,491.65,West,2024-08-17,3933.2
CUST0065,62,Male,124211,10,272.08,South,2024-10-02,2720.8
CUST0066,23,Male,136098,2,428.28,East,2023-12-01,856.56
CUST0067,22,Male,139443,7,151.56,East,2024-01-25,1060.92
CUST0068,25,Female,111871,1,76.93,East,2024-01-01,76.93
